
  MMLU High School Biology Benchmark
  310 questions, model: llama3.2:3b
  [35/310] Q34: WRONG (got A, correct D) — 54.3% — 92.9s (~748m left)
  [36/310] Q35: WRONG (got D, correct C) — 52.8% — 169.8s (~747m left)
  [37/310] Q36: CORRECT (got B, correct B) — 54.1% — 51.0s (~730m left)
  [38/310] Q37: CORRECT (got D, correct D) — 55.3% — 59.6s (~715m left)
  [39/310] Q38: WRONG (got B, correct C) — 53.8% — 152.4s (~712m left)
  [40/310] Q39: CORRECT (got B, correct B) — 55.0% — 176.7s (~712m left)
  [41/310] Q40: CORRECT (got A, correct A) — 56.1% — 109.2s (~704m left)
  [42/310] Q41: CORRECT (got D, correct D) — 57.1% — 110.6s (~696m left)
  [43/310] Q42: WRONG (got A, correct B) — 55.8% — 145.7s (~692m left)
  [44/310] Q43: CORRECT (got A, correct A) — 56.8% — 152.1s (~689m left)
  [45/310] Q44: CORRECT (got B, correct B) — 57.8% — 294.1s (~700m left)
  [46/310] Q45: CORRECT (got C, correct C) — 58.7% — 128.6s (~695m left)
  [47/310] Q46: WRONG (got B, correct D) — 57.4% — 109.7s (~688m left)
  [48/310] Q47: CORRECT (got A, correct A) — 58.3% — 151.6s (~685m left)
  [49/310] Q48: CORRECT (got B, correct B) — 59.2% — 45.5s (~672m left)
  [50/310] Q49: WRONG (got D, correct C) — 58.0% — 180.9s (~672m left)
  [51/310] Q50: CORRECT (got D, correct D) — 58.8% — 237.1s (~676m left)
  [52/310] Q51: WRONG (got D, correct A) — 57.7% — 162.5s (~674m left)
  [53/310] Q52: CORRECT (got A, correct A) — 58.5% — 25.0s (~661m left)
  [54/310] Q53: WRONG (got A, correct D) — 57.4% — 107.9s (~655m left)
  [55/310] Q54: CORRECT (got D, correct D) — 58.2% — 214.4s (~657m left)
  [56/310] Q55: CORRECT (got D, correct D) — 58.9% — 340.1s (~668m left)
  [57/310] Q56: WRONG (got D, correct C) — 57.9% — 114.3s (~662m left)
  [58/310] Q57: CORRECT (got B, correct B) — 58.6% — 129.0s (~658m left)
  [59/310] Q58: WRONG (got B, correct C) — 57.6% — 326.7s (~667m left)
  [60/310] Q59: CORRECT (got D, correct D) — 58.3% — 229.1s (~669m left)
  [61/310] Q60: WRONG (got B, correct D) — 57.4% — 164.0s (~667m left)
  [62/310] Q61: WRONG (got C, correct D) — 56.5% — 56.8s (~657m left)
  [63/310] Q62: WRONG (got C, correct A) — 55.6% — 234.1s (~660m left)
  [64/310] Q63: WRONG (got B, correct C) — 54.7% — 78.4s (~652m left)
  [65/310] Q64: WRONG (got C, correct D) — 53.8% — 60.0s (~643m left)
  [66/310] Q65: WRONG (got C, correct B) — 53.0% — 174.5s (~641m left)
  [67/310] Q66: WRONG (got A, correct C) — 52.2% — 84.3s (~634m left)
  [68/310] Q67: WRONG (got B, correct C) — 51.5% — 213.8s (~635m left)
  [69/310] Q68: CORRECT (got C, correct C) — 52.2% — 133.2s (~631m left)
  [70/310] Q69: CORRECT (got C, correct C) — 52.9% — 203.2s (~631m left)
  [71/310] Q70: CORRECT (got B, correct B) — 53.5% — 205.0s (~631m left)
  [72/310] Q71: WRONG (got B, correct D) — 52.8% — 410.5s (~642m left)
  [73/310] Q72: WRONG (got B, correct D) — 52.1% — 133.2s (~638m left)
  [74/310] Q73: WRONG (got D, correct A) — 51.4% — 201.9s (~637m left)
  [75/310] Q74: WRONG (got B, correct D) — 50.7% — 204.7s (~637m left)
  [76/310] Q75: WRONG (got C, correct D) — 50.0% — 155.3s (~634m left)
  [77/310] Q76: WRONG (got A, correct D) — 49.4% — 115.7s (~629m left)
  [78/310] Q77: CORRECT (got D, correct D) — 50.0% — 168.3s (~626m left)
  [79/310] Q78: WRONG (got B, correct C) — 49.4% — 163.9s (~624m left)
  [80/310] Q79: CORRECT (got D, correct D) — 50.0% — 165.6s (~621m left)
  [81/310] Q80: WRONG (got B, correct C) — 49.4% — 265.8s (~623m left)
  [82/310] Q81: CORRECT (got B, correct B) — 50.0% — 417.7s (~633m left)
  [83/310] Q82: WRONG (got A, correct C) — 49.4% — 182.2s (~630m left)
  [84/310] Q83: WRONG (got D, correct C) — 48.8% — 288.6s (~633m left)
  [85/310] Q84: CORRECT (got D, correct D) — 49.4% — 70.5s (~626m left)
  [86/310] Q85: CORRECT (got C, correct C) — 50.0% — 166.3s (~623m left)
  [87/310] Q86: WRONG (got B, correct D) — 49.4% — 111.6s (~618m left)
  [88/310] Q87: WRONG (got B, correct C) — 48.9% — 138.9s (~614m left)
  [89/310] Q88: CORRECT (got C, correct C) — 49.4% — 104.1s (~609m left)
  [90/310] Q89: CORRECT (got B, correct B) — 50.0% — 233.8s (~609m left)
  [91/310] Q90: WRONG (got B, correct C) — 49.5% — 255.7s (~610m left)
  [92/310] Q91: CORRECT (got C, correct C) — 50.0% — 135.6s (~606m left)
  [93/310] Q92: WRONG (got B, correct C) — 49.5% — 146.7s (~602m left)
  [94/310] Q93: WRONG (got B, correct D) — 48.9% — 99.0s (~597m left)
  [95/310] Q94: WRONG (got A, correct B) — 48.4% — 89.2s (~591m left)
  [96/310] Q95: CORRECT (got C, correct C) — 49.0% — 140.2s (~587m left)
  [97/310] Q96: CORRECT (got B, correct B) — 49.5% — 71.7s (~581m left)
  [98/310] Q97: CORRECT (got B, correct B) — 50.0% — 107.3s (~577m left)
  [99/310] Q98: WRONG (got C, correct B) — 49.5% — 304.4s (~579m left)
  [100/310] Q99: CORRECT (got B, correct B) — 50.0% — 87.7s (~573m left)
  [101/310] Q100: WRONG (got A, correct C) — 49.5% — 171.5s (~571m left)
  [102/310] Q101: CORRECT (got D, correct D) — 50.0% — 265.2s (~572m left)
  [103/310] Q102: WRONG (got B, correct D) — 49.5% — 92.7s (~566m left)
  [104/310] Q103: WRONG (got C, correct D) — 49.0% — 313.9s (~569m left)
  [105/310] Q104: WRONG (got B, correct D) — 48.6% — 152.8s (~565m left)
  [106/310] Q105: WRONG (got B, correct C) — 48.1% — 156.4s (~562m left)
  [107/310] Q106: CORRECT (got B, correct B) — 48.6% — 207.7s (~561m left)
  [108/310] Q107: WRONG (got A, correct C) — 48.1% — 77.6s (~556m left)
  [109/310] Q108: WRONG (got A, correct B) — 47.7% — 234.9s (~555m left)
  [110/310] Q109: WRONG (got B, correct A) — 47.3% — 67.0s (~549m left)
  [111/310] Q110: CORRECT (got C, correct C) — 47.7% — 453.6s (~555m left)
  [112/310] Q111: WRONG (got D, correct C) — 47.3% — 90.3s (~550m left)
  [113/310] Q112: WRONG (got C, correct D) — 46.9% — 224.4s (~549m left)
  [114/310] Q113: WRONG (got A, correct B) — 46.5% — 163.3s (~546m left)
  [115/310] Q114: WRONG (got C, correct B) — 46.1% — 106.3s (~541m left)
  [116/310] Q115: WRONG (got A, correct B) — 45.7% — 215.3s (~540m left)
  [117/310] Q116: WRONG (got D, correct B) — 45.3% — 180.8s (~538m left)
  [118/310] Q117: WRONG (got B, correct A) — 44.9% — 87.8s (~533m left)
  [119/310] Q118: WRONG (got A, correct C) — 44.5% — 107.1s (~528m left)
  [120/310] Q119: WRONG (got A, correct D) — 44.2% — 79.2s (~523m left)
  [121/310] Q120: CORRECT (got A, correct A) — 44.6% — 210.0s (~522m left)
  [122/310] Q121: CORRECT (got A, correct A) — 45.1% — 166.5s (~519m left)
  [123/310] Q122: CORRECT (got D, correct D) — 45.5% — 46.7s (~513m left)
  [124/310] Q123: CORRECT (got D, correct D) — 46.0% — 309.8s (~514m left)
  [125/310] Q124: WRONG (got A, correct C) — 45.6% — 207.8s (~512m left)
  [126/310] Q125: WRONG (got D, correct C) — 45.2% — 187.2s (~510m left)
  [127/310] Q126: CORRECT (got A, correct A) — 45.7% — 100.7s (~506m left)
  [128/310] Q127: CORRECT (got B, correct B) — 46.1% — 224.1s (~504m left)
  [129/310] Q128: CORRECT (got C, correct C) — 46.5% — 143.2s (~501m left)
  [130/310] Q129: CORRECT (got A, correct A) — 46.9% — 298.8s (~501m left)
  [131/310] Q130: CORRECT (got B, correct B) — 47.3% — 186.3s (~499m left)
  [132/310] Q131: CORRECT (got D, correct D) — 47.7% — 154.5s (~496m left)
  [133/310] Q132: WRONG (got A, correct B) — 47.4% — 104.3s (~492m left)
  [134/310] Q133: CORRECT (got C, correct C) — 47.8% — 103.8s (~488m left)
  [135/310] Q134: CORRECT (got B, correct B) — 48.1% — 197.5s (~485m left)
  [136/310] Q135: CORRECT (got D, correct D) — 48.5% — 70.7s (~481m left)
  [137/310] Q136: WRONG (got A, correct D) — 48.2% — 250.4s (~480m left)
  [138/310] Q137: WRONG (got B, correct A) — 47.8% — 71.5s (~475m left)
  [139/310] Q138: WRONG (got A, correct C) — 47.5% — 141.5s (~472m left)
  [140/310] Q139: WRONG (got B, correct D) — 47.1% — 244.9s (~471m left)
  [141/310] Q140: WRONG (got D, correct A) — 46.8% — 113.2s (~467m left)
  [142/310] Q141: WRONG (got A, correct C) — 46.5% — 398.6s (~469m left)
  [143/310] Q142: CORRECT (got D, correct D) — 46.9% — 168.2s (~466m left)
  [144/310] Q143: WRONG (got A, correct D) — 46.5% — 86.2s (~461m left)
  [145/310] Q144: CORRECT (got A, correct A) — 46.9% — 251.1s (~460m left)
  [146/310] Q145: WRONG (got B, correct D) — 46.6% — 133.4s (~457m left)
  [147/310] Q146: WRONG (got B, correct A) — 46.3% — 120.7s (~453m left)
  [148/310] Q147: CORRECT (got C, correct C) — 46.6% — 160.0s (~450m left)
  [149/310] Q148: CORRECT (got B, correct B) — 47.0% — 166.0s (~447m left)
  [150/310] Q149: WRONG (got B, correct D) — 46.7% — 184.8s (~445m left)
  [151/310] Q150: CORRECT (got B, correct B) — 47.0% — 280.0s (~444m left)
  [152/310] Q151: WRONG (got C, correct A) — 46.7% — 140.5s (~441m left)
  [153/310] Q152: CORRECT (got A, correct A) — 47.1% — 78.7s (~437m left)
  [154/310] Q153: WRONG (got C, correct D) — 46.8% — 109.3s (~433m left)
  [155/310] Q154: WRONG (got B, correct D) — 46.5% — 144.0s (~430m left)
  [156/310] Q155: WRONG (got A, correct B) — 46.2% — 23.0s (~425m left)
  [157/310] Q156: WRONG (got C, correct A) — 45.9% — 173.9s (~422m left)
  [158/310] Q157: CORRECT (got B, correct B) — 46.2% — 104.4s (~418m left)
  [159/310] Q158: CORRECT (got D, correct D) — 46.5% — 129.3s (~415m left)
  [160/310] Q159: CORRECT (got D, correct D) — 46.9% — 172.5s (~412m left)
  [161/310] Q160: WRONG (got B, correct D) — 46.6% — 290.8s (~412m left)
  [162/310] Q161: CORRECT (got B, correct B) — 46.9% — 459.0s (~413m left)
  [163/310] Q162: WRONG (got B, correct D) — 46.6% — 73.4s (~409m left)
  [164/310] Q163: CORRECT (got B, correct B) — 47.0% — 199.4s (~407m left)
  [165/310] Q164: CORRECT (got A, correct A) — 47.3% — 60.5s (~402m left)
  [166/310] Q165: CORRECT (got B, correct B) — 47.6% — 115.7s (~399m left)
  [167/310] Q166: CORRECT (got C, correct C) — 47.9% — 213.5s (~397m left)
  [168/310] Q167: CORRECT (got C, correct C) — 48.2% — 137.6s (~394m left)
  [169/310] Q168: WRONG (got B, correct D) — 47.9% — 138.8s (~390m left)
  [170/310] Q169: WRONG (got C, correct D) — 47.6% — 80.9s (~386m left)
  [171/310] Q170: WRONG (got B, correct D) — 47.4% — 104.3s (~383m left)
  [172/310] Q171: WRONG (got B, correct A) — 47.1% — 254.5s (~381m left)
  [173/310] Q172: WRONG (got C, correct A) — 46.8% — 267.4s (~380m left)
  [174/310] Q173: CORRECT (got B, correct B) — 47.1% — 278.0s (~379m left)
  [175/310] Q174: WRONG (got B, correct D) — 46.9% — 116.2s (~375m left)
  [176/310] Q175: CORRECT (got D, correct D) — 47.2% — 133.0s (~372m left)
  [177/310] Q176: CORRECT (got C, correct C) — 47.5% — 120.7s (~369m left)
  [178/310] Q177: CORRECT (got A, correct A) — 47.8% — 109.5s (~365m left)
  [179/310] Q178: CORRECT (got B, correct B) — 48.0% — 98.8s (~362m left)
  [180/310] Q179: CORRECT (got A, correct A) — 48.3% — 213.1s (~359m left)
  [181/310] Q180: WRONG (got A, correct C) — 48.1% — 115.6s (~356m left)
  [182/310] Q181: CORRECT (got A, correct A) — 48.4% — 76.5s (~352m left)
  [183/310] Q182: CORRECT (got C, correct C) — 48.6% — 389.2s (~352m left)
