nohup: ignoring input
[FastRecognizer] Loading graph into C++ engine...
[FastRecognizer] Loaded 952883 segments.

  MMLU High School Biology Benchmark
  310 questions, model: llama3.2:3b
  [83/310] Q82: CORRECT (got C, correct C) — 51.8% — 23.5s (~77m left)
  [84/310] Q83: WRONG (got B, correct C) — 51.2% — 23.9s (~77m left)
  [85/310] Q84: CORRECT (got D, correct D) — 51.8% — 16.7s (~76m left)
  [86/310] Q85: WRONG (got B, correct C) — 51.2% — 22.7s (~76m left)
  [87/310] Q86: WRONG (got B, correct D) — 50.6% — 20.1s (~76m left)
  [88/310] Q87: CORRECT (got C, correct C) — 51.1% — 21.4s (~76m left)
  [89/310] Q88: CORRECT (got C, correct C) — 51.7% — 17.5s (~75m left)
  [90/310] Q89: CORRECT (got B, correct B) — 52.2% — 22.3s (~75m left)
  [91/310] Q90: WRONG (got B, correct C) — 51.6% — 23.8s (~75m left)
  [92/310] Q91: CORRECT (got C, correct C) — 52.2% — 21.1s (~74m left)
  [93/310] Q92: WRONG (got B, correct C) — 51.6% — 21.5s (~74m left)
  [94/310] Q93: WRONG (got B, correct D) — 51.1% — 18.2s (~74m left)
  [95/310] Q94: CORRECT (got B, correct B) — 51.6% — 17.6s (~73m left)
  [96/310] Q95: WRONG (got A, correct C) — 51.0% — 20.0s (~73m left)
  [97/310] Q96: CORRECT (got B, correct B) — 51.5% — 16.3s (~72m left)
  [98/310] Q97: CORRECT (got B, correct B) — 52.0% — 19.3s (~72m left)
  [99/310] Q98: WRONG (got C, correct B) — 51.5% — 25.0s (~72m left)
  [100/310] Q99: CORRECT (got B, correct B) — 52.0% — 14.6s (~71m left)
  [101/310] Q100: WRONG (got B, correct C) — 51.5% — 20.6s (~71m left)
  [102/310] Q101: WRONG (got B, correct D) — 51.0% — 24.9s (~71m left)
  [103/310] Q102: CORRECT (got D, correct D) — 51.5% — 19.0s (~70m left)
  [104/310] Q103: WRONG (got B, correct D) — 51.0% — 25.1s (~70m left)
  [105/310] Q104: WRONG (got B, correct D) — 50.5% — 19.2s (~70m left)
  [106/310] Q105: CORRECT (got C, correct C) — 50.9% — 21.7s (~69m left)
  [107/310] Q106: WRONG (got A, correct B) — 50.5% — 23.0s (~69m left)
  [108/310] Q107: WRONG (got D, correct C) — 50.0% — 16.3s (~69m left)
  [109/310] Q108: WRONG (got A, correct B) — 49.5% — 24.4s (~69m left)
  [110/310] Q109: WRONG (got B, correct A) — 49.1% — 15.6s (~68m left)
  [111/310] Q110: WRONG (got A, correct C) — 48.6% — 27.4s (~68m left)
  [112/310] Q111: CORRECT (got C, correct C) — 49.1% — 17.9s (~67m left)
  [113/310] Q112: WRONG (got A, correct D) — 48.7% — 24.4s (~67m left)
  [114/310] Q113: CORRECT (got B, correct B) — 49.1% — 22.8s (~67m left)
  [115/310] Q114: WRONG (got C, correct B) — 48.7% — 16.1s (~67m left)
  [116/310] Q115: WRONG (got A, correct B) — 48.3% — 22.2s (~66m left)
  [117/310] Q116: CORRECT (got B, correct B) — 48.7% — 22.7s (~66m left)
  [118/310] Q117: WRONG (got B, correct A) — 48.3% — 19.1s (~66m left)
  [119/310] Q118: WRONG (got A, correct C) — 47.9% — 18.1s (~65m left)
  [120/310] Q119: WRONG (got A, correct D) — 47.5% — 19.4s (~65m left)
  [121/310] Q120: CORRECT (got A, correct A) — 47.9% — 22.8s (~65m left)
  [122/310] Q121: CORRECT (got A, correct A) — 48.4% — 20.8s (~64m left)
  [123/310] Q122: CORRECT (got D, correct D) — 48.8% — 13.3s (~64m left)
  [124/310] Q123: WRONG (got B, correct D) — 48.4% — 25.0s (~63m left)
  [125/310] Q124: WRONG (got A, correct C) — 48.0% — 22.5s (~63m left)
  [126/310] Q125: WRONG (got B, correct C) — 47.6% — 22.7s (~63m left)
  [127/310] Q126: CORRECT (got A, correct A) — 48.0% — 16.7s (~62m left)
  [128/310] Q127: CORRECT (got B, correct B) — 48.4% — 24.0s (~62m left)
  [129/310] Q128: WRONG (got D, correct C) — 48.1% — 22.7s (~62m left)
  [130/310] Q129: CORRECT (got A, correct A) — 48.5% — 25.2s (~62m left)
  [131/310] Q130: CORRECT (got B, correct B) — 48.9% — 23.3s (~61m left)
  [132/310] Q131: CORRECT (got D, correct D) — 49.2% — 20.8s (~61m left)
  [133/310] Q132: CORRECT (got B, correct B) — 49.6% — 16.7s (~61m left)
  [134/310] Q133: WRONG (got B, correct C) — 49.3% — 17.9s (~60m left)
  [135/310] Q134: CORRECT (got B, correct B) — 49.6% — 24.3s (~60m left)
  [136/310] Q135: WRONG (got A, correct D) — 49.3% — 17.5s (~60m left)
  [137/310] Q136: WRONG (got A, correct D) — 48.9% — 24.2s (~59m left)
  [138/310] Q137: CORRECT (got A, correct A) — 49.3% — 16.5s (~59m left)
  [139/310] Q138: WRONG (got A, correct C) — 48.9% — 19.5s (~58m left)
  [140/310] Q139: WRONG (got B, correct D) — 48.6% — 24.1s (~58m left)
  [141/310] Q140: CORRECT (got A, correct A) — 48.9% — 19.8s (~58m left)
  [142/310] Q141: WRONG (got D, correct C) — 48.6% — 24.5s (~58m left)
  [143/310] Q142: CORRECT (got D, correct D) — 49.0% — 23.4s (~57m left)
  [144/310] Q143: WRONG (got A, correct D) — 48.6% — 17.3s (~57m left)
  [145/310] Q144: CORRECT (got A, correct A) — 49.0% — 25.3s (~57m left)
  [146/310] Q145: WRONG (got B, correct D) — 48.6% — 22.6s (~56m left)
  [147/310] Q146: WRONG (got C, correct A) — 48.3% — 20.8s (~56m left)
  [148/310] Q147: CORRECT (got C, correct C) — 48.6% — 23.2s (~56m left)
  [149/310] Q148: CORRECT (got B, correct B) — 49.0% — 23.3s (~55m left)
  [150/310] Q149: WRONG (got A, correct D) — 48.7% — 22.1s (~55m left)
  [151/310] Q150: CORRECT (got B, correct B) — 49.0% — 25.0s (~55m left)
  [152/310] Q151: WRONG (got C, correct A) — 48.7% — 22.2s (~54m left)
  [153/310] Q152: WRONG (got C, correct A) — 48.4% — 19.6s (~54m left)
  [154/310] Q153: WRONG (got B, correct D) — 48.1% — 20.1s (~54m left)
  [155/310] Q154: WRONG (got B, correct D) — 47.7% — 20.5s (~53m left)
  [156/310] Q155: CORRECT (got B, correct B) — 48.1% — 3.5s (~53m left)
  [157/310] Q156: CORRECT (got A, correct A) — 48.4% — 22.9s (~52m left)
  [158/310] Q157: CORRECT (got B, correct B) — 48.7% — 18.3s (~52m left)
  [159/310] Q158: CORRECT (got D, correct D) — 49.1% — 19.5s (~52m left)
  [160/310] Q159: CORRECT (got D, correct D) — 49.4% — 21.5s (~51m left)
  [161/310] Q160: CORRECT (got D, correct D) — 49.7% — 26.2s (~51m left)
  [162/310] Q161: CORRECT (got B, correct B) — 50.0% — 27.4s (~51m left)
  [163/310] Q162: WRONG (got B, correct D) — 49.7% — 17.0s (~51m left)
  [164/310] Q163: CORRECT (got B, correct B) — 50.0% — 22.1s (~50m left)
  [165/310] Q164: WRONG (got C, correct A) — 49.7% — 14.5s (~50m left)
  [166/310] Q165: CORRECT (got B, correct B) — 50.0% — 20.9s (~49m left)
  [167/310] Q166: CORRECT (got C, correct C) — 50.3% — 21.8s (~49m left)
  [168/310] Q167: CORRECT (got C, correct C) — 50.6% — 21.0s (~49m left)
  [169/310] Q168: CORRECT (got D, correct D) — 50.9% — 21.5s (~48m left)
  [170/310] Q169: WRONG (got A, correct D) — 50.6% — 14.7s (~48m left)
  [171/310] Q170: WRONG (got A, correct D) — 50.3% — 18.9s (~48m left)
  [172/310] Q171: WRONG (got B, correct A) — 50.0% — 24.0s (~47m left)
  [173/310] Q172: WRONG (got D, correct A) — 49.7% — 24.7s (~47m left)
  [174/310] Q173: WRONG (got A, correct B) — 49.4% — 25.2s (~47m left)
  [175/310] Q174: WRONG (got B, correct D) — 49.1% — 20.5s (~46m left)
  [176/310] Q175: CORRECT (got D, correct D) — 49.4% — 20.3s (~46m left)
  [177/310] Q176: CORRECT (got C, correct C) — 49.7% — 19.0s (~46m left)
  [178/310] Q177: CORRECT (got A, correct A) — 50.0% — 19.7s (~45m left)
  [179/310] Q178: WRONG (got D, correct B) — 49.7% — 20.9s (~45m left)
  [180/310] Q179: CORRECT (got A, correct A) — 50.0% — 24.8s (~45m left)
  [181/310] Q180: WRONG (got A, correct C) — 49.7% — 20.3s (~44m left)
  [182/310] Q181: CORRECT (got A, correct A) — 50.0% — 18.9s (~44m left)
  [183/310] Q182: WRONG (got A, correct C) — 49.7% — 26.4s (~44m left)
  [184/310] Q183: WRONG (got B, correct D) — 49.5% — 19.1s (~43m left)
  [185/310] Q184: WRONG (got A, correct D) — 49.2% — 25.3s (~43m left)
  [186/310] Q185: WRONG (got B, correct D) — 48.9% — 20.4s (~43m left)
  [187/310] Q186: WRONG (got B, correct C) — 48.7% — 17.5s (~42m left)
  [188/310] Q187: WRONG (got C, correct A) — 48.4% — 19.7s (~42m left)
  [189/310] Q188: CORRECT (got C, correct C) — 48.7% — 17.5s (~42m left)
  [190/310] Q189: CORRECT (got D, correct D) — 48.9% — 24.3s (~41m left)
  [191/310] Q190: CORRECT (got C, correct C) — 49.2% — 22.7s (~41m left)
  [192/310] Q191: CORRECT (got B, correct B) — 49.5% — 23.6s (~41m left)
  [193/310] Q192: WRONG (got A, correct B) — 49.2% — 23.7s (~40m left)
  [194/310] Q193: CORRECT (got D, correct D) — 49.5% — 3.9s (~40m left)
  [195/310] Q194: WRONG (got B, correct D) — 49.2% — 18.6s (~39m left)
  [196/310] Q195: CORRECT (got A, correct A) — 49.5% — 23.6s (~39m left)
  [197/310] Q196: CORRECT (got B, correct B) — 49.7% — 19.2s (~39m left)
  [198/310] Q197: WRONG (got B, correct A) — 49.5% — 18.1s (~38m left)
  [199/310] Q198: WRONG (got B, correct A) — 49.2% — 18.8s (~38m left)
  [200/310] Q199: CORRECT (got A, correct A) — 49.5% — 19.0s (~38m left)
  [201/310] Q200: CORRECT (got B, correct B) — 49.8% — 16.1s (~37m left)
  [202/310] Q201: WRONG (got A, correct D) — 49.5% — 23.7s (~37m left)
  [203/310] Q202: WRONG (got C, correct D) — 49.3% — 14.6s (~37m left)
  [204/310] Q203: CORRECT (got B, correct B) — 49.5% — 12.7s (~36m left)
  [205/310] Q204: WRONG (got C, correct B) — 49.3% — 24.8s (~36m left)
  [206/310] Q205: WRONG (got B, correct A) — 49.0% — 22.0s (~36m left)
  [207/310] Q206: WRONG (got C, correct D) — 48.8% — 19.1s (~35m left)
  [208/310] Q207: WRONG (got A, correct B) — 48.6% — 20.5s (~35m left)
  [209/310] Q208: CORRECT (got B, correct B) — 48.8% — 26.6s (~35m left)
  [210/310] Q209: CORRECT (got A, correct A) — 49.0% — 20.1s (~34m left)
  [211/310] Q210: CORRECT (got B, correct B) — 49.3% — 22.1s (~34m left)
  [212/310] Q211: CORRECT (got C, correct C) — 49.5% — 23.6s (~34m left)
  [213/310] Q212: CORRECT (got C, correct C) — 49.8% — 21.6s (~33m left)
  [214/310] Q213: CORRECT (got B, correct B) — 50.0% — 24.4s (~33m left)
  [215/310] Q214: CORRECT (got B, correct B) — 50.2% — 23.1s (~33m left)
  [216/310] Q215: WRONG (got B, correct D) — 50.0% — 21.6s (~32m left)
  [217/310] Q216: WRONG (got B, correct C) — 49.8% — 19.8s (~32m left)
  [218/310] Q217: WRONG (got B, correct C) — 49.5% — 23.6s (~32m left)
  [219/310] Q218: WRONG (got B, correct D) — 49.3% — 19.8s (~31m left)
  [220/310] Q219: CORRECT (got C, correct C) — 49.5% — 18.8s (~31m left)
  [221/310] Q220: CORRECT (got B, correct B) — 49.8% — 24.3s (~31m left)
  [222/310] Q221: WRONG (got B, correct D) — 49.5% — 19.0s (~30m left)
  [223/310] Q222: WRONG (got C, correct D) — 49.3% — 13.4s (~30m left)
  [224/310] Q223: WRONG (got C, correct D) — 49.1% — 26.4s (~30m left)
  [225/310] Q224: WRONG (got B, correct C) — 48.9% — 16.1s (~29m left)
  [226/310] Q225: CORRECT (got A, correct A) — 49.1% — 16.3s (~29m left)
  [227/310] Q226: WRONG (got A, correct C) — 48.9% — 18.5s (~28m left)
  [228/310] Q227: CORRECT (got D, correct D) — 49.1% — 15.9s (~28m left)
  [229/310] Q228: WRONG (got B, correct D) — 48.9% — 22.3s (~28m left)
  [230/310] Q229: CORRECT (got B, correct B) — 49.1% — 19.6s (~27m left)
  [231/310] Q230: CORRECT (got B, correct B) — 49.4% — 19.0s (~27m left)
  [232/310] Q231: WRONG (got D, correct B) — 49.1% — 21.4s (~27m left)
  [233/310] Q232: CORRECT (got D, correct D) — 49.4% — 20.8s (~26m left)
  [234/310] Q233: WRONG (got B, correct D) — 49.1% — 23.4s (~26m left)
  [235/310] Q234: WRONG (got A, correct B) — 48.9% — 21.9s (~26m left)
  [236/310] Q235: CORRECT (got D, correct D) — 49.2% — 22.8s (~25m left)
  [237/310] Q236: CORRECT (got D, correct D) — 49.4% — 24.5s (~25m left)
  [238/310] Q237: CORRECT (got B, correct B) — 49.6% — 25.5s (~25m left)
  [239/310] Q238: CORRECT (got C, correct C) — 49.8% — 19.2s (~24m left)
  [240/310] Q239: CORRECT (got C, correct C) — 50.0% — 17.7s (~24m left)
  [241/310] Q240: CORRECT (got C, correct C) — 50.2% — 23.1s (~24m left)
  [242/310] Q241: CORRECT (got D, correct D) — 50.4% — 20.0s (~23m left)
  [243/310] Q242: CORRECT (got B, correct B) — 50.6% — 23.7s (~23m left)
  [244/310] Q243: WRONG (got C, correct B) — 50.4% — 22.4s (~23m left)
  [245/310] Q244: WRONG (got A, correct D) — 50.2% — 16.6s (~22m left)
  [246/310] Q245: CORRECT (got B, correct B) — 50.4% — 24.1s (~22m left)
  [247/310] Q246: CORRECT (got D, correct D) — 50.6% — 26.1s (~22m left)
  [248/310] Q247: CORRECT (got A, correct A) — 50.8% — 22.2s (~21m left)
  [249/310] Q248: WRONG (got A, correct B) — 50.6% — 22.4s (~21m left)
  [250/310] Q249: WRONG (got B, correct C) — 50.4% — 24.9s (~21m left)
  [251/310] Q250: WRONG (got B, correct C) — 50.2% — 24.7s (~20m left)
  [252/310] Q251: CORRECT (got B, correct B) — 50.4% — 24.0s (~20m left)
  [253/310] Q252: CORRECT (got A, correct A) — 50.6% — 17.9s (~20m left)
  [254/310] Q253: CORRECT (got A, correct A) — 50.8% — 21.3s (~19m left)
  [255/310] Q254: CORRECT (got D, correct D) — 51.0% — 24.8s (~19m left)
  [256/310] Q255: WRONG (got A, correct D) — 50.8% — 21.9s (~19m left)
  [257/310] Q256: WRONG (got B, correct D) — 50.6% — 23.0s (~18m left)
  [258/310] Q257: CORRECT (got D, correct D) — 50.8% — 15.0s (~18m left)
  [259/310] Q258: CORRECT (got C, correct C) — 51.0% — 23.7s (~18m left)
  [260/310] Q259: CORRECT (got D, correct D) — 51.2% — 26.4s (~17m left)
  [261/310] Q260: WRONG (got C, correct D) — 51.0% — 17.1s (~17m left)
  [262/310] Q261: WRONG (got C, correct A) — 50.8% — 19.1s (~17m left)
  [263/310] Q262: CORRECT (got A, correct A) — 51.0% — 21.1s (~16m left)
  [264/310] Q263: CORRECT (got C, correct C) — 51.1% — 16.4s (~16m left)
  [265/310] Q264: CORRECT (got B, correct B) — 51.3% — 28.1s (~16m left)
  [266/310] Q265: WRONG (got A, correct B) — 51.1% — 16.3s (~15m left)
  [267/310] Q266: WRONG (got B, correct A) — 50.9% — 24.0s (~15m left)
  [268/310] Q267: CORRECT (got D, correct D) — 51.1% — 24.7s (~15m left)
  [269/310] Q268: CORRECT (got A, correct A) — 51.3% — 25.2s (~14m left)
  [270/310] Q269: CORRECT (got C, correct C) — 51.5% — 26.1s (~14m left)
  [271/310] Q270: CORRECT (got A, correct A) — 51.7% — 22.2s (~14m left)
  [272/310] Q271: CORRECT (got C, correct C) — 51.8% — 15.7s (~13m left)
  [273/310] Q272: WRONG (got B, correct A) — 51.6% — 20.7s (~13m left)
  [274/310] Q273: CORRECT (got A, correct A) — 51.8% — 14.5s (~12m left)
  [275/310] Q274: WRONG (got A, correct B) — 51.6% — 18.5s (~12m left)
  [276/310] Q275: WRONG (got D, correct A) — 51.4% — 15.5s (~12m left)
  [277/310] Q276: WRONG (got A, correct C) — 51.3% — 23.7s (~11m left)
  [278/310] Q277: WRONG (got C, correct B) — 51.1% — 13.1s (~11m left)
  [279/310] Q278: WRONG (got B, correct A) — 50.9% — 14.9s (~11m left)
  [280/310] Q279: CORRECT (got D, correct D) — 51.1% — 25.6s (~10m left)
  [281/310] Q280: CORRECT (got C, correct C) — 51.2% — 21.7s (~10m left)
  [282/310] Q281: WRONG (got A, correct D) — 51.1% — 15.1s (~10m left)
  [283/310] Q282: WRONG (got C, correct D) — 50.9% — 14.7s (~9m left)
  [284/310] Q283: CORRECT (got B, correct B) — 51.1% — 25.1s (~9m left)
  [285/310] Q284: CORRECT (got A, correct A) — 51.2% — 21.2s (~9m left)
  [286/310] Q285: CORRECT (got D, correct D) — 51.4% — 13.1s (~8m left)
  [287/310] Q286: CORRECT (got B, correct B) — 51.6% — 21.7s (~8m left)
  [288/310] Q287: CORRECT (got B, correct B) — 51.7% — 26.2s (~8m left)
  [289/310] Q288: CORRECT (got A, correct A) — 51.9% — 24.3s (~7m left)
  [290/310] Q289: WRONG (got B, correct D) — 51.7% — 26.4s (~7m left)
  [291/310] Q290: CORRECT (got D, correct D) — 51.9% — 17.7s (~7m left)
  [292/310] Q291: WRONG (got A, correct D) — 51.7% — 15.1s (~6m left)
  [293/310] Q292: WRONG (got A, correct C) — 51.5% — 24.3s (~6m left)
  [294/310] Q293: CORRECT (got D, correct D) — 51.7% — 19.8s (~6m left)
  [295/310] Q294: CORRECT (got C, correct C) — 51.9% — 21.3s (~5m left)
  [296/310] Q295: CORRECT (got D, correct D) — 52.0% — 25.3s (~5m left)
  [297/310] Q296: CORRECT (got D, correct D) — 52.2% — 19.8s (~4m left)
  [298/310] Q297: WRONG (got C, correct D) — 52.0% — 16.4s (~4m left)
  [299/310] Q298: WRONG (got D, correct A) — 51.8% — 20.8s (~4m left)
  [300/310] Q299: CORRECT (got D, correct D) — 52.0% — 23.0s (~3m left)
  [301/310] Q300: WRONG (got D, correct B) — 51.8% — 24.7s (~3m left)
  [302/310] Q301: CORRECT (got D, correct D) — 52.0% — 25.0s (~3m left)
  [303/310] Q302: CORRECT (got A, correct A) — 52.1% — 22.3s (~2m left)
  [304/310] Q303: CORRECT (got B, correct B) — 52.3% — 24.3s (~2m left)
  [305/310] Q304: CORRECT (got B, correct B) — 52.5% — 24.9s (~2m left)
  [306/310] Q305: WRONG (got B, correct C) — 52.3% — 18.9s (~1m left)
  [307/310] Q306: CORRECT (got B, correct B) — 52.4% — 14.5s (~1m left)
  [308/310] Q307: CORRECT (got D, correct D) — 52.6% — 21.9s (~1m left)
  [309/310] Q308: CORRECT (got B, correct B) — 52.8% — 24.2s (~0m left)
  [310/310] Q309: CORRECT (got B, correct B) — 52.9% — 23.9s (~0m left)

  ==================================================
  MMLU High School Biology — sara+wavefront
  Model: llama3.2:3b
  ==================================================
  Total: 310
  Correct:   164 (52.9%)
  Incorrect: 146
  Errors:    0
  Time: 107.2 min
  ==================================================

